what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306815904436
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1306815913601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306815913935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306815916013
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1306815916101
opened,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1306815916299
activated,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1306815916328
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1306815916337
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1306815918939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306815931986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306815932943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306815992977
activated,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1306815993836
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1306815998322
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1306815998995
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepInto",1306815999980
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1306816001919
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1306816005114
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1306816005183
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1306816005247
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1306816010004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816012790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816224798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816226628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816229189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816231745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816427018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816428367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816429934
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306816430244
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1306816430797
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1306816430797
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1306816430798
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1306816430799
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1306816430800
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1306816430801
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,0.9.0.r37x201105251401,"org.eclipse.wb.rcp.databinding.xwt",1306816430802
stopped,bundle,org.eclipse.wb.core.databinding.xml,0.9.0.r37x201105251329,"org.eclipse.wb.core.databinding.xml",1306816430803
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,0.9.0.r37x201105251354,"org.eclipse.wb.rcp.databinding.emf",1306816430804
stopped,bundle,org.eclipse.wb.rcp.databinding,0.9.0.r37x201105251354,"org.eclipse.wb.rcp.databinding",1306816430804
stopped,bundle,org.eclipse.wb.swing.databinding,0.9.0.r37x201105251352,"org.eclipse.wb.swing.databinding",1306816430804
stopped,bundle,org.eclipse.wb.core.databinding,0.9.0.r37x201105251325,"org.eclipse.wb.core.databinding",1306816430804
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,0.9.0.r37x201105251359,"org.eclipse.wb.rcp.SWT_AWT",1306816430806
stopped,bundle,org.eclipse.wb.rcp.nebula,0.9.0.r37x201105251354,"org.eclipse.wb.rcp.nebula",1306816430806
