what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1307205415789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205418157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205418552
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205426544
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205426832
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205427120
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205427479
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1307205428054
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1307205428268
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1307205428524
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1307205428848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307205447984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307205453315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205457662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205459526
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1307205459617
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1307205475064
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1307205475064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205481930
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1307205483738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205483755
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1307205483775
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1307205498154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205566538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205566844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307205573494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205576548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205576848
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205583084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205583389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205598078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205635754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205650393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205655292
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205679280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205679630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205702481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205702857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1307205709974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1307205710914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1307205712364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1307205714609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1307205716088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1307205717744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205719512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205719815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205731941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205732250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205746512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205746854
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205755443
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205755589
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205755736
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205755881
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205756059
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205756241
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205756418
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1307205756638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205759376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307205759691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1307205777209
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1307205777808
