what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1306790459137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790464925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790473408
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1306790478377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790479331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790511461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790513362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790546533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1306790546569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1306790546569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790547963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790551857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790552467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790662510
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1306790665192
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1306790665198
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306790665351
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306790665386
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1306790669444
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1306790669470
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1306790680261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306790690605
